iter	Passed	Remaining
496	454	459
497	454	458
498	455	457
499	456	456
500	456	454
501	457	453
502	457	452
503	458	451
504	458	449
505	459	448
506	460	447
507	460	446
508	461	444
509	461	443
510	462	442
511	463	441
512	463	440
513	464	438
514	464	437
515	465	436
516	466	435
517	466	434
518	467	432
519	467	431
520	468	430
521	468	429
522	469	428
523	470	427
524	470	426
525	471	424
526	472	423
527	472	422
528	473	421
529	473	420
530	474	419
531	475	418
532	475	416
533	476	415
534	476	414
535	477	413
536	478	412
537	478	411
538	479	409
539	479	408
540	480	407
541	480	406
542	481	405
543	482	404
544	482	403
545	483	402
546	484	400
547	484	399
548	485	398
549	486	397
550	486	396
551	487	395
552	488	394
553	488	393
554	489	392
555	489	391
556	490	390
557	491	389
558	491	387
559	492	386
560	493	385
561	493	384
562	494	383
563	494	382
564	495	381
565	496	380
566	496	379
567	497	378
568	497	377
569	498	376
570	499	375
571	500	374
572	500	373
573	501	372
574	502	371
575	503	370
576	503	369
577	504	368
578	505	367
579	505	366
580	506	365
581	507	364
582	507	363
583	508	362
584	509	361
585	509	360
586	510	359
587	510	357
588	511	357
589	512	356
590	513	355
591	513	353
592	514	352
593	514	351
594	515	350
595	516	350
596	517	349
597	518	348
598	518	347
599	519	346
600	520	345
601	520	344
602	521	343
603	522	342
604	522	341
605	523	340
606	524	339
607	524	338
608	525	337
609	526	336
610	526	335
611	527	334
612	528	333
613	528	332
614	529	331
615	530	330
616	530	329
617	531	328
618	532	327
619	533	326
620	533	325
621	534	324
622	535	323
623	535	322
624	536	321
625	537	320
626	537	319
627	538	318
628	539	317
629	539	317
630	540	316
631	541	315
632	541	314
633	542	313
634	542	312
635	543	311
636	544	310
637	544	309
638	545	308
639	546	307
640	547	306
641	547	305
642	548	304
643	549	303
644	549	302
645	550	301
646	551	300
647	551	299
648	552	298
649	552	297
650	553	296
651	554	295
652	554	294
653	555	293
654	555	292
655	556	291
656	557	290
657	557	289
658	558	288
659	559	287
660	559	286
661	560	286
662	560	285
663	561	284
664	562	283
665	563	282
666	563	281
667	564	280
668	565	279
669	566	278
670	566	277
671	567	276
672	568	276
673	568	275
674	569	274
675	569	273
676	570	272
677	571	271
678	571	270
679	572	269
680	572	268
681	573	267
682	574	266
683	574	265
684	575	264
685	575	263
686	576	262
687	577	261
688	578	261
689	579	260
690	579	259
691	580	258
692	581	257
693	581	256
694	582	255
695	582	254
696	583	253
697	584	252
698	584	251
699	585	250
700	585	249
701	586	248
702	587	248
703	587	247
704	588	246
705	588	245
706	589	244
707	590	243
708	590	242
709	591	241
710	592	240
711	593	239
712	593	238
713	594	238
714	595	237
715	595	236
716	596	235
717	596	234
718	597	233
719	598	232
720	598	231
721	599	230
722	599	229
723	600	228
724	601	228
725	601	227
726	602	226
727	602	225
728	603	224
729	604	223
730	604	222
731	605	221
732	606	220
733	606	219
734	607	219
735	608	218
736	609	217
737	609	216
738	610	215
739	610	214
740	611	213
741	612	212
742	612	211
743	613	211
744	614	210
745	614	209
746	615	208
747	615	207
748	616	206
749	617	205
750	617	204
751	618	203
752	618	203
753	619	202
754	620	201
755	620	200
756	621	199
757	622	198
758	622	197
759	623	196
760	624	196
761	624	195
762	625	194
763	626	193
764	626	192
765	627	191
766	628	190
767	628	189
768	629	189
769	629	188
770	630	187
771	631	186
772	631	185
773	632	184
774	632	183
775	633	182
776	634	181
777	634	181
778	635	180
779	635	179
780	636	178
781	637	177
782	638	176
783	638	175
784	639	175
785	639	174
786	640	173
787	641	172
788	641	171
789	642	170
790	642	169
791	643	168
792	643	168
793	644	167
794	645	166
795	645	165
796	646	164
797	647	163
798	648	163
799	648	162
800	649	161
801	650	160
802	650	159
803	651	158
804	651	157
805	652	157
806	653	156
807	654	155
808	654	154
809	655	153
810	655	152
811	656	151
812	656	151
813	657	150
814	658	149
815	658	148
816	659	147
817	659	146
818	660	145
819	661	145
820	661	144
821	662	143
822	662	142
823	663	141
824	664	140
825	664	140
826	665	139
827	665	138
828	666	137
829	667	136
830	667	135
831	668	135
832	669	134
833	669	133
834	670	132
835	671	131
836	671	130
837	672	129
838	672	129
839	673	128
840	674	127
841	674	126
842	675	125
843	675	124
844	676	124
845	677	123
846	677	122
847	678	121
848	678	120
849	679	119
850	679	119
851	680	118
852	681	117
853	682	116
854	682	115
855	683	114
856	684	114
857	684	113
858	685	112
859	686	111
860	686	110
861	687	110
862	688	109
863	688	108
864	689	107
865	690	106
866	690	105
867	691	105
868	691	104
869	692	103
870	693	102
871	693	101
872	694	101
873	694	100
874	695	99
875	696	98
876	696	97
877	697	96
878	698	96
879	698	95
880	699	94
881	700	93
882	700	92
883	701	92
884	701	91
885	702	90
886	703	89
887	703	88
888	704	87
889	705	87
890	705	86
891	706	85
892	706	84
893	707	83
894	708	83
895	708	82
896	709	81
897	709	80
898	710	79
899	711	79
900	711	78
901	712	77
902	713	76
903	714	75
904	714	75
905	715	74
906	716	73
907	716	72
908	717	71
909	718	71
910	718	70
911	719	69
912	720	68
913	720	67
914	721	67
915	722	66
916	722	65
917	723	64
918	724	63
919	724	63
920	725	62
921	726	61
922	726	60
923	727	59
924	728	59
925	728	58
926	729	57
927	730	56
928	731	55
929	731	55
930	732	54
931	733	53
932	734	52
933	734	51
934	735	51
935	736	50
936	737	49
937	737	48
938	738	47
939	738	47
940	739	46
941	740	45
942	740	44
943	741	43
944	741	43
945	742	42
946	743	41
947	743	40
948	744	40
949	745	39
950	745	38
951	746	37
952	747	36
953	747	36
954	748	35
955	748	34
956	749	33
957	750	32
958	750	32
959	751	31
960	751	30
961	752	29
962	753	28
963	753	28
964	754	27
965	754	26
966	755	25
967	756	24
968	756	24
969	757	23
970	758	22
971	758	21
972	759	21
973	760	20
974	760	19
975	761	18
976	762	17
977	762	17
978	763	16
979	764	15
980	764	14
981	765	14
982	765	13
983	766	12
984	767	11
985	767	10
986	768	10
987	768	9
988	769	8
989	770	7
990	770	7
991	771	6
992	772	5
993	772	4
994	773	3
995	774	3
996	774	2
997	775	1
998	776	0
999	777	0
